# conda environments:
#
base                     /home/zwa281/miniconda
env                      /home/zwa281/miniconda/envs/env
myenv                 *  /home/zwa281/miniconda/envs/myenv

True
8
0
EPOCH 062: test_acc=0.7509, disc_loss=0.3619, cls_loss=0.0057, disc_acc=0.8814
EPOCH 063: test_acc=0.7421, disc_loss=0.3587, cls_loss=0.0054, disc_acc=0.8983
EPOCH 064: test_acc=0.7459, disc_loss=0.3704, cls_loss=0.0050, disc_acc=0.7627
EPOCH 065: test_acc=0.7509, disc_loss=0.3779, cls_loss=0.0042, disc_acc=0.7627
EPOCH 066: test_acc=0.7447, disc_loss=0.3686, cls_loss=0.0032, disc_acc=0.8644
EPOCH 067: test_acc=0.7447, disc_loss=0.3920, cls_loss=0.0050, disc_acc=0.7797
EPOCH 068: test_acc=0.7434, disc_loss=0.4200, cls_loss=0.0063, disc_acc=0.8136
EPOCH 069: test_acc=0.7535, disc_loss=0.4264, cls_loss=0.0156, disc_acc=0.8644
EPOCH 070: test_acc=0.7421, disc_loss=0.4258, cls_loss=0.0069, disc_acc=0.7627
EPOCH 071: test_acc=0.7472, disc_loss=0.4257, cls_loss=0.0042, disc_acc=0.8305
EPOCH 072: test_acc=0.7447, disc_loss=0.4115, cls_loss=0.0042, disc_acc=0.8305
EPOCH 073: test_acc=0.7421, disc_loss=0.4181, cls_loss=0.0034, disc_acc=0.8136
EPOCH 074: test_acc=0.7472, disc_loss=0.4318, cls_loss=0.0038, disc_acc=0.7458
EPOCH 075: test_acc=0.7409, disc_loss=0.4628, cls_loss=0.0033, disc_acc=0.8475
EPOCH 076: test_acc=0.7384, disc_loss=0.4420, cls_loss=0.0036, disc_acc=0.8475
EPOCH 077: test_acc=0.7434, disc_loss=0.4493, cls_loss=0.0035, disc_acc=0.7797
EPOCH 078: test_acc=0.7409, disc_loss=0.4488, cls_loss=0.0050, disc_acc=0.8305
EPOCH 079: test_acc=0.7333, disc_loss=0.4792, cls_loss=0.0045, disc_acc=0.7458
EPOCH 080: test_acc=0.7396, disc_loss=0.4664, cls_loss=0.0090, disc_acc=0.8475
